,borough,location_i,objectid,shape_area,shape_length,zone,arcs,type_x,type_y,transform_scale,transform_translate,object_type
112,Bronx,3.0,3.0,0.000314414156821,0.0843411059012,Allerton/Pelham Gardens,56.0,Polygon,Topology,2.510549268129308e-06,40.496115395170364,GeometryCollection
113,Bronx,3.0,3.0,0.000314414156821,0.0843411059012,Allerton/Pelham Gardens,56.0,Polygon,Topology,3.2045306632868553e-06,-74.25559136315209,GeometryCollection
114,Bronx,3.0,3.0,0.000314414156821,0.0843411059012,Allerton/Pelham Gardens,57.0,Polygon,Topology,2.510549268129308e-06,40.496115395170364,GeometryCollection
115,Bronx,3.0,3.0,0.000314414156821,0.0843411059012,Allerton/Pelham Gardens,57.0,Polygon,Topology,3.2045306632868553e-06,-74.25559136315209,GeometryCollection
116,Bronx,3.0,3.0,0.000314414156821,0.0843411059012,Allerton/Pelham Gardens,58.0,Polygon,Topology,2.510549268129308e-06,40.496115395170364,GeometryCollection
117,Bronx,3.0,3.0,0.000314414156821,0.0843411059012,Allerton/Pelham Gardens,58.0,Polygon,Topology,3.2045306632868553e-06,-74.25559136315209,GeometryCollection
118,Bronx,3.0,3.0,0.000314414156821,0.0843411059012,Allerton/Pelham Gardens,59.0,Polygon,Topology,2.510549268129308e-06,40.496115395170364,GeometryCollection
119,Bronx,3.0,3.0,0.000314414156821,0.0843411059012,Allerton/Pelham Gardens,59.0,Polygon,Topology,3.2045306632868553e-06,-74.25559136315209,GeometryCollection
120,Bronx,3.0,3.0,0.000314414156821,0.0843411059012,Allerton/Pelham Gardens,60.0,Polygon,Topology,3.2045306632868553e-06,-74.25559136315209,GeometryCollection
121,Bronx,3.0,3.0,0.000314414156821,0.0843411059012,Allerton/Pelham Gardens,60.0,Polygon,Topology,2.510549268129308e-06,40.496115395170364,GeometryCollection
122,Bronx,3.0,3.0,0.000314414156821,0.0843411059012,Allerton/Pelham Gardens,61.0,Polygon,Topology,2.510549268129308e-06,40.496115395170364,GeometryCollection
123,Bronx,3.0,3.0,0.000314414156821,0.0843411059012,Allerton/Pelham Gardens,61.0,Polygon,Topology,3.2045306632868553e-06,-74.25559136315209,GeometryCollection
124,Bronx,3.0,3.0,0.000314414156821,0.0843411059012,Allerton/Pelham Gardens,62.0,Polygon,Topology,3.2045306632868553e-06,-74.25559136315209,GeometryCollection
125,Bronx,3.0,3.0,0.000314414156821,0.0843411059012,Allerton/Pelham Gardens,62.0,Polygon,Topology,2.510549268129308e-06,40.496115395170364,GeometryCollection
126,Bronx,3.0,3.0,0.000314414156821,0.0843411059012,Allerton/Pelham Gardens,63.0,Polygon,Topology,2.510549268129308e-06,40.496115395170364,GeometryCollection
127,Bronx,3.0,3.0,0.000314414156821,0.0843411059012,Allerton/Pelham Gardens,63.0,Polygon,Topology,3.2045306632868553e-06,-74.25559136315209,GeometryCollection
128,Bronx,3.0,3.0,0.000314414156821,0.0843411059012,Allerton/Pelham Gardens,64.0,Polygon,Topology,3.2045306632868553e-06,-74.25559136315209,GeometryCollection
129,Bronx,3.0,3.0,0.000314414156821,0.0843411059012,Allerton/Pelham Gardens,64.0,Polygon,Topology,2.510549268129308e-06,40.496115395170364,GeometryCollection
130,Bronx,3.0,3.0,0.000314414156821,0.0843411059012,Allerton/Pelham Gardens,65.0,Polygon,Topology,3.2045306632868553e-06,-74.25559136315209,GeometryCollection
131,Bronx,3.0,3.0,0.000314414156821,0.0843411059012,Allerton/Pelham Gardens,65.0,Polygon,Topology,2.510549268129308e-06,40.496115395170364,GeometryCollection
132,Bronx,3.0,3.0,0.000314414156821,0.0843411059012,Allerton/Pelham Gardens,66.0,Polygon,Topology,2.510549268129308e-06,40.496115395170364,GeometryCollection
133,Bronx,3.0,3.0,0.000314414156821,0.0843411059012,Allerton/Pelham Gardens,66.0,Polygon,Topology,3.2045306632868553e-06,-74.25559136315209,GeometryCollection
134,Manhattan,4.0,4.0,0.000111871946192,0.0435665270921,Alphabet City,67.0,Polygon,Topology,3.2045306632868553e-06,-74.25559136315209,GeometryCollection
135,Manhattan,4.0,4.0,0.000111871946192,0.0435665270921,Alphabet City,67.0,Polygon,Topology,2.510549268129308e-06,40.496115395170364,GeometryCollection
136,Manhattan,4.0,4.0,0.000111871946192,0.0435665270921,Alphabet City,68.0,Polygon,Topology,2.510549268129308e-06,40.496115395170364,GeometryCollection
